I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-52.88,-93.384,-43.216,72.432,-5.392,-66.8,46.552,-49.216,-108.104,-88.064,-105.16,-89.744
-52.88,-93.384,-43.216,72.432,-5.392,-66.8,45.552,-49.216,-108.104,-88.064,-105.16,-89.744
-52.88,-93.384,-43.216,72.432,-5.392,-66.8,43.552,-49.216,-109.104,-88.064,-106.16,-89.744
-52.88,-93.384,-43.216,72.432,-5.392,-66.8,41.552,-49.216,-110.104,-88.064,-106.16,-89.744
-52.88,-93.384,-43.216,72.432,-5.392,-66.8,39.552,-49.216,-110.104,-88.064,-107.16,-89.744
-52.88,-93.384,-43.216,72.432,-5.392,-66.8,37.552,-49.216,-111.104,-88.064,-107.16,-89.744
-52.88,-93.384,-43.216,72.432,-5.392,-66.8,35.552,-49.216,-112.104,-88.064,-108.16,-89.744
-52.88,-93.384,-43.216,72.432,-5.392,-66.8,34.552,-49.216,-112.104,-88.064,-108.16,-89.744
-52.88,-92.384,-43.216,71.432,-5.392,-66.8,39.552,-46.216,-111.104,-88.064,-108.16,-87.744
-51.88,-91.384,-42.216,70.432,-5.392,-65.8,44.552,-43.216,-110.104,-89.064,-107.16,-84.744
-50.88,-90.384,-41.216,69.432,-5.392,-64.8,49.552,-40.216,-109.104,-90.064,-106.16,-81.744
-49.88,-88.384,-40.216,68.432,-5.392,-63.8,54.552,-37.216,-108.104,-90.064,-105.16,-79.744
-48.88,-87.384,-39.216,67.432,-5.392,-62.8,60.552,-34.216,-107.104,-91.064,-105.16,-76.744
-47.88,-86.384,-38.216,66.432,-5.392,-61.8,65.55199999999999,-31.216,-106.104,-92.064,-104.16,-73.744
-46.88,-85.384,-38.216,65.432,-5.392,-60.8,70.55199999999999,-28.216,-105.104,-92.064,-104.16,-71.744
-50.88,-101.384,-49.216,74.432,-0.39200000000000035,-74.8,92.55199999999999,10.783999999999999,-115.104,-113.064,-122.16,-89.744
-54.88,-118.384,-62.216,85.432,3.6079999999999997,-89.8,113.55199999999999,49.784,-127.104,-133.064,-141.16,-107.744
-59.88,-135.38400000000001,-75.21600000000001,96.432,8.608,-104.8,135.552,88.78399999999999,-138.10399999999998,-153.064,-161.16,-126.744
-63.88,-153.38400000000001,-88.21600000000001,107.432,12.608,-119.8,156.552,127.78399999999999,-150.10399999999998,-173.064,-180.16,-145.744
-68.88,-170.38400000000001,-101.21600000000001,118.432,17.608,-134.8,177.552,165.784,-161.10399999999998,-193.064,-199.16,-164.744
